bvdid;postcode
DE2151490008;22113
DE2190115561;30177
DE7110186522;76275
DE3030043753;09212
DE4170193411;32312
DE3070281329;01109
DE7110049221;76532
DE7010002931;79249
DE2011801115;10719
DE5050364762;40237
DE8230261668;94315
DE4050277845;44789
DE7230170480;72250
DE8030159743;86159
DE4130035452;33332
DE6070009855;60326
DE8330008131;82178
DE8350105633;85386
DE3230144054;99834
DE5050038916;40476
DE2250109630;26605
DE4030027756;46395
DE2150432497;22767
DE5030123321;53894
DE2150506904;20355
DE7010012586;79331
DE8170016656;81671
DE4250185645;59073
DE2290088053;23795
DE4050300646;
DE7110037800;76137
DE6190139824;65451
DE8330310435;85716
DE5190235416;51491
DE8070000104;95359
DE8190092415;90471
DE7330535166;70597
DE6250222361;65343
DE7350007244;78136
DE6070455637;60329
DE6190254394;45659
DE2150519335;22041
DE5330002380;40764
DE3430021957;07318
DE8170353970;80331
DE2190060983;30159
DE8050079356;96052
DE5110034035;45127
DE7270007607;72764
DE8170202612;80539
DE8170523527;81375
DE7350000267;78199
DE7330001079;70563
DE8130107026;85057
DE2050030582;28816
DE8170006204;80333
DE4290036098;59494
DE8310207800;97469
DE4250006164;48249
DE7130130673;78359
DE7010010509;79111
DE2150007593;22113
DE4110070561;58089
DE2011616642;13125
DE5010001020;52152
DE2090184322;24837
DE5030552923;53175
DE6210013102;63069
DE7330797830;70174
DE7110000669;76275
DE2390000743;25336
DE8250350316;83395
DE5030399637;53639
DE2270008689;23570
DE2170000511;31860
DE7110315257;76530
DE6270032188;68623
DE8270002959;89077
DE7050132553;97941
DE7110175055;77855
DE7070105860;97980
DE3310070385;08393
DE6190223796;55252
DE5270108239;41468
DE2210062297;31241
DE8230249776;92507
DE3170074994;39418
DE2110166197;37075
DE5050033097;40472
DE5010297797;52525
DE8070103264;95447
DE5070182051;47198
DE7010001918;79674
DE7330299994;70499
DE8230352423;94575
DE8170456521;80538
DE5190540250;51103
DE8210104095;88316
DE3150001513;04435
DE4250340497;48599
DE8010097334;63739
DE7030001629;73084
DE8190000691;90451
DE7170007247;68782
DE6090109196;36341
DE2350077089;27472
DE7050160209;76684
DE8190127048;92318
DE7370122114;89522
DE2190341981;30171
DE5210265458;47805
DE2190278016;30179
DE7190057741;67480
DE2210040034;31061
DE2210145800;31135
DE5050278744;40474
DE2150034105;21614
DE5170149954;56727
DE7330117064;70736
DE2011313049;13627
DE8090051546;96450
DE3390004547;02906
DE8170843761;80687
DE8350193694;84034
DE6110007743;63667
DE7290241923;66564
DE7270186384;72766
DE5250116401;46145
DE8170009606;80807
DE2151271820;20095
DE8170654873;80336
DE2150357355;20357
DE2290184051;25524
DE7050039320;97941
DE2030009621;31226
DE7170171484;64646
DE5030496563;53175
DE5150003104;51674
DE8270181613;88422
DE5130114160;47608
DE2270004727;23564
DE6110001957;35649
DE5010393743;52064
DE6190227594;60549
DE5230331067;40670
DE7330379382;74379
DE5190410817;50354
DE8030002730;86637
DE2370060937;26655
DE7130001268;78333
DE2150653511;20459
DE2250005276;49744
DE5310067088;42897
DE2050419198;28239
DE4130072060;33415
DE3370000439;38889
DE3070223507;01067
DE3130034348;06122
DE7010000851;79618
DE3070359847;01109
DE6070379537;60325
DE5330126711;42655
DE8190032960;90471
DE5110005654;45141
DE2150241023;22113
